Mode,Rho_Target,n,mean,std,ci95,cv_pct
PT,0.3,20.0,56.288,0.549,0.257,0.975
PT,0.5,20.0,58.695,2.777,1.3,4.731
PT,0.6,20.0,69.322,40.032,18.736,57.749
PT,0.65,20.0,63.266,7.092,3.319,11.209
PT,0.7,20.0,62.866,1.026,0.48,1.631
PT,0.75,20.0,753.161,3028.306,1417.291,402.08
PT,0.8,20.0,65.74,2.231,1.044,3.394
PT,0.85,20.0,67.214,3.518,1.646,5.233
PT,0.95,20.0,90.107,56.749,26.559,62.979
VT,0.3,20.0,56.407,0.359,0.168,0.637
VT,0.5,20.0,58.033,1.364,0.639,2.351
VT,0.6,20.0,60.332,4.39,2.054,7.276
VT,0.65,20.0,60.434,1.924,0.9,3.184
VT,0.7,20.0,61.045,1.887,0.883,3.092
VT,0.75,20.0,62.466,1.827,0.855,2.926
VT,0.8,20.0,66.248,3.915,1.832,5.909
VT,0.85,20.0,82.154,15.472,7.241,18.832
VT,0.95,20.0,161.032,70.19,32.85,43.587
