Mode,Rho_Target,Rep,Lambda_Target_rps,Lambda_Achieved_rps,InterArrival_CV,Dispatched,Completed,Rejected,Success_Pct,Throughput_rps,Mean_Latency_ms,P99_ms,Nq_Hikari_Mean,Nq_Hikari_Max,Little_Nq_Check,Heap_Mean_MB,Heap_Max_MB,Threads_Mean,Threads_Max,GC_Collections,GC_Pause_Total_ms,GC_Pause_Mean_ms,Alloc_Rate_MB_s,Heap_Delta_MB
PT,0.75,5,565.70,562.97,2.147,16889,16889,0,100.0,562.97,62.41,91.56,0.12,7,0.00,127.9,175,169.4,192,33,114.00,3.45,3.87,24.00
PT,0.70,20,527.99,527.57,2.034,15827,15827,0,100.0,527.57,61.71,87.64,0.05,7,0.00,119.8,180,168.6,192,33,80.00,2.42,3.97,94.00
PT,0.65,1,490.28,495.37,2.058,14861,14861,0,100.0,495.37,61.78,88.74,0.04,3,0.00,120.0,180,165.1,184,24,63.00,2.63,3.97,24.00
PT,0.65,7,490.28,489.03,1.979,14671,14671,0,100.0,489.03,61.35,89.54,0.00,0,0.00,116.0,177,161.5,175,30,105.00,3.50,3.87,3.00
VT,0.75,7,565.70,569.13,2.427,17074,17074,0,100.0,569.13,64.63,101.89,0.12,11,0.00,113.6,167,139.0,139,28,88.00,3.14,3.73,9.00
PT,0.95,12,716.56,718.80,2.144,21564,21564,0,100.0,718.80,122.12,524.24,41.64,355,40.13,104.9,165,226.8,527,36,100.00,2.78,3.67,43.00
PT,0.85,5,641.13,648.33,2.207,19450,19450,0,100.0,648.33,64.51,123.68,1.39,54,0.00,113.3,171,177.9,203,32,81.00,2.53,3.87,81.00
VT,0.30,13,226.28,230.60,1.614,6918,6918,0,100.0,230.60,56.49,67.11,0.00,0,0.00,107.0,160,139.0,139,10,18.00,1.80,3.50,57.00
VT,0.95,13,716.56,708.67,2.635,21260,21260,0,100.0,708.67,72.74,158.25,5.94,69,4.57,114.0,164,138.5,139,24,68.00,2.83,3.63,45.00
PT,0.60,6,452.56,447.70,1.983,13431,13431,0,100.0,447.70,61.25,84.87,0.00,0,0.00,119.2,172,165.8,187,16,40.00,2.50,3.90,69.00
PT,0.50,7,377.14,377.90,1.847,11337,11337,0,100.0,377.90,59.63,86.15,0.00,0,0.00,113.6,170,157.5,177,10,21.00,2.10,3.83,19.00
PT,0.65,19,490.28,487.03,2.038,14611,14611,0,100.0,487.03,61.72,88.30,0.03,3,0.00,112.2,172,162.9,185,19,52.00,2.74,3.90,113.00
PT,0.85,1,641.13,644.50,2.246,19335,19335,0,100.0,644.50,62.54,105.93,0.89,30,0.00,130.2,168,174.4,214,20,47.00,2.35,3.77,42.00
PT,0.30,18,226.28,229.50,1.530,6885,6885,0,100.0,229.50,56.57,69.41,0.00,0,0.00,112.1,172,142.2,153,6,18.00,3.00,3.90,61.00
VT,0.80,6,603.42,608.80,2.464,18264,18264,0,100.0,608.80,63.54,100.05,0.72,26,0.00,116.1,172,138.0,138,17,43.00,2.53,3.90,30.00
VT,0.80,13,603.42,599.37,2.450,17981,17981,0,100.0,599.37,64.47,97.00,0.53,20,0.00,121.7,173,138.0,138,16,56.00,3.50,3.93,114.00
VT,0.95,18,716.56,710.63,2.664,21319,21319,0,100.0,710.63,96.47,327.87,21.66,194,21.45,111.6,167,138.0,138,20,66.00,3.30,3.73,40.00
VT,0.65,18,490.28,489.53,2.275,14686,14686,0,100.0,489.53,60.20,87.02,0.13,10,0.00,113.7,172,138.0,138,13,50.00,3.85,3.90,84.00
VT,0.65,5,490.28,495.33,2.281,14860,14860,0,100.0,495.33,60.19,88.11,0.03,5,0.00,117.4,169,138.0,138,13,28.00,2.15,3.80,102.00
VT,0.70,2,527.99,531.00,2.336,15930,15930,0,100.0,531.00,62.26,92.67,0.08,4,0.00,115.3,170,138.0,138,14,45.00,3.21,3.83,108.00
VT,1.05,12,791.98,782.30,2.661,23469,23469,0,100.0,782.30,195.40,638.35,101.29,441,101.00,115.8,171,138.0,138,23,74.00,3.22,3.87,5.00
