Mode,Rho_Target,Rep,Lambda_Target_rps,Lambda_Achieved_rps,InterArrival_CV,Dispatched,Completed,Rejected,Success_Pct,Throughput_rps,Mean_Latency_ms,P99_ms,Nq_Hikari_Mean,Nq_Hikari_Max,Little_Nq_Check,Heap_Mean_MB,Heap_Max_MB,Threads_Mean,Threads_Max,GC_Collections,GC_Pause_Total_ms,GC_Pause_Mean_ms,Alloc_Rate_MB_s,Heap_Delta_MB
PT,0.75,5,688.09,661.80,7.883,19854,19854,0,100.0,661.80,268.55,3051.10,21.48,282,141.66,112.8,162,242.5,1175,18,64.00,3.56,3.60,57.00
PT,0.70,20,642.22,632.73,2.176,18982,18982,0,100.0,632.73,61.60,142.21,1.30,66,4.49,111.9,161,174.1,262,15,35.00,2.33,3.60,77.00
PT,0.65,1,596.34,593.23,2.171,17797,17797,0,100.0,593.23,58.84,88.63,0.19,13,2.57,103.4,157,167.4,188,19,39.00,2.05,3.47,93.00
PT,0.65,7,596.34,601.67,2.169,18050,18050,0,100.0,601.67,58.98,85.20,0.16,6,2.70,108.3,155,168.9,193,19,48.00,2.53,3.43,48.00
VT,0.75,7,688.09,683.37,2.574,20501,20501,0,100.0,683.37,135.30,603.61,50.43,372,55.22,99.4,146,139.0,139,13,34.00,2.62,3.33,75.00
PT,0.95,12,871.58,880.10,2.191,26403,26403,0,100.0,880.10,2219.46,4899.06,1834.54,2220,1905.38,96.4,142,2038.8,2391,13,45.00,3.46,3.20,97.00
PT,0.85,5,779.83,773.30,2.266,23199,23199,0,100.0,773.30,152.32,367.02,67.50,195,75.64,96.3,143,253.1,359,9,25.00,2.78,3.23,42.00
VT,0.30,13,275.24,274.37,1.748,8231,8231,0,100.0,274.37,54.86,62.44,0.01,1,0.10,98.0,144,138.6,139,4,5.00,1.25,3.27,93.00
VT,0.95,13,871.58,866.80,3.586,26004,26004,0,100.0,866.80,4439.64,10325.33,3057.13,6182,3801.04,108.9,146,138.0,138,21,111.00,5.29,3.33,64.00
PT,0.60,6,550.47,548.83,2.085,16465,16465,0,100.0,548.83,58.99,87.13,0.02,3,2.47,99.3,146,166.4,184,20,44.00,2.20,3.33,73.00
