Mode,Rho_Target,Reps,Lambda_Achieved_Mean,InterArrival_CV_Mean,Throughput_Mean,Mean_Latency_ms,Std_Latency_ms,CI95_Latency_ms,P99_ms_Mean,Nq_Mean,Std_Nq,CI95_Nq,Little_Nq_Mean,Heap_Mean_MB,Heap_Max_MB,Threads_Mean,Threads_Max,Rejected_Total,GC_Collections_Mean,GC_Pause_Total_ms_Mean,GC_Pause_Mean_ms,Alloc_Rate_MB_s_Mean,Heap_Delta_MB_Mean
VT,0.30,20,225.63,1.573,225.63,56.41,0.35,0.15,70.71,0.02,0.08,0.04,0.00,111.8,168,138.1,139,0,6.20,10.90,1.76,3.62,64.35
VT,0.50,20,377.34,2.022,377.34,58.03,1.33,0.58,81.22,0.00,0.01,0.00,0.00,112.1,168,138.0,138,0,10.45,22.90,2.19,3.65,60.70
VT,0.60,20,452.16,2.212,452.16,60.33,4.28,1.88,99.39,0.32,1.34,0.59,0.27,114.6,171,138.1,139,0,12.90,31.60,2.45,3.60,30.65
VT,0.65,20,490.29,2.273,490.29,60.44,1.88,0.82,90.22,0.04,0.12,0.05,0.00,112.7,172,138.1,139,0,13.95,37.30,2.68,3.69,40.70
VT,0.70,20,528.41,2.350,528.41,61.04,1.84,0.81,90.78,0.08,0.11,0.05,0.00,110.9,170,138.1,139,0,14.90,41.45,2.78,3.63,50.20
VT,0.75,20,566.56,2.417,566.56,62.47,1.78,0.78,96.28,0.21,0.11,0.05,0.00,111.2,167,138.1,139,0,16.65,44.80,2.67,3.66,52.85
VT,0.80,20,601.86,2.455,601.86,66.25,3.82,1.67,130.92,1.35,1.55,0.68,0.86,112.3,173,138.0,139,0,17.00,52.25,3.07,3.70,70.40
VT,0.85,20,643.19,2.510,643.19,82.15,15.08,6.61,251.55,10.01,8.79,3.85,10.27,112.4,173,138.2,139,0,18.65,56.40,3.02,3.58,45.80
VT,0.95,20,715.07,2.613,715.07,161.03,68.41,29.98,470.85,65.16,47.69,20.90,67.82,112.1,171,138.1,139,0,21.40,66.70,3.12,3.63,56.25
VT,1.05,20,791.54,2.659,791.54,462.49,429.36,188.18,1118.79,310.27,335.58,147.08,314.27,110.3,171,138.1,139,0,24.55,74.20,3.01,3.54,54.25
PT,0.30,20,227.27,1.535,227.27,56.29,0.54,0.23,69.16,0.00,0.00,0.00,0.00,112.1,172,147.3,159,0,7.40,12.25,1.67,3.68,45.60
PT,0.50,20,378.33,1.905,378.33,58.69,2.71,1.19,95.71,0.14,0.62,0.27,0.06,111.4,170,156.0,372,0,10.65,18.60,1.74,3.67,50.70
PT,0.60,20,451.74,2.044,451.74,69.32,39.02,17.10,258.92,1.23,4.67,2.05,4.00,111.6,172,163.5,831,0,15.05,32.10,2.13,3.61,67.90
PT,0.65,20,490.90,2.055,490.90,63.27,6.91,3.03,113.10,0.71,2.89,1.26,0.67,112.5,180,166.5,516,0,18.65,45.30,2.39,3.68,46.20
PT,0.70,20,527.69,2.091,527.69,62.87,1.00,0.44,92.65,0.13,0.07,0.03,0.00,112.7,180,167.2,209,0,19.10,44.75,2.35,3.61,62.70
PT,0.75,20,566.80,2.898,566.80,753.16,2951.63,1293.61,1542.87,231.99,980.11,429.55,388.69,116.2,175,449.6,9206,0,19.70,58.60,2.94,3.66,68.60
PT,0.80,20,602.64,2.160,602.64,65.74,2.17,0.95,116.96,1.01,0.86,0.38,0.39,110.5,169,174.6,253,0,19.60,50.30,2.56,3.68,59.45
PT,0.85,20,640.40,2.183,640.40,67.21,3.43,1.50,145.33,2.40,1.74,0.76,1.15,112.6,172,176.0,288,0,20.75,49.35,2.38,3.63,61.85
PT,0.95,20,714.46,2.265,714.46,90.11,55.31,24.24,253.98,18.91,39.62,17.37,17.05,110.0,172,199.4,797,0,21.80,54.20,2.48,3.64,71.65
PT,1.05,20,791.40,2.328,791.40,136.76,120.01,52.60,387.29,58.20,94.54,41.44,56.05,110.5,167,243.6,1138,0,21.90,55.95,2.56,3.55,45.45
