Mode,Rho_Target,Reps,Lambda_Achieved_Mean,InterArrival_CV_Mean,Throughput_Mean,Mean_Latency_ms,Std_Latency_ms,CI95_Latency_ms,P99_ms_Mean,Nq_Mean,Std_Nq,CI95_Nq,Little_Nq_Mean,Heap_Mean_MB,Heap_Max_MB,Threads_Mean,Threads_Max,Rejected_Total,GC_Collections_Mean,GC_Pause_Total_ms_Mean,GC_Pause_Mean_ms,Alloc_Rate_MB_s_Mean,Heap_Delta_MB_Mean
VT,0.30,20,275.57,1.718,275.57,55.00,0.28,0.12,64.05,0.00,0.00,0.00,0.14,98.4,151,138.0,139,0,3.25,5.90,1.84,3.29,64.45
VT,0.50,20,458.94,2.194,458.94,56.40,0.79,0.35,73.32,0.01,0.01,0.00,0.87,97.5,155,138.1,139,0,4.85,12.90,2.64,3.24,72.20
VT,0.60,20,551.20,2.371,551.20,57.32,0.99,0.43,79.25,0.02,0.03,0.01,1.56,98.3,151,138.1,139,0,6.60,16.85,2.56,3.26,51.85
VT,0.65,20,595.05,2.442,595.05,57.58,1.30,0.57,80.74,0.14,0.08,0.04,1.83,96.2,153,138.1,139,0,8.65,20.85,2.39,3.20,45.50
VT,0.70,20,642.33,2.532,642.33,60.07,2.35,1.03,102.00,0.76,1.03,0.45,3.58,96.9,149,138.2,139,0,7.70,20.75,2.73,3.26,50.60
VT,0.75,20,687.69,2.585,687.69,69.44,16.45,7.21,179.65,6.15,10.68,4.68,10.26,97.3,153,138.1,139,0,9.45,23.10,2.49,3.28,47.55
VT,0.80,20,734.29,2.618,734.29,166.92,105.94,46.43,446.44,73.84,76.73,33.63,82.69,96.6,152,138.2,139,0,10.55,32.60,3.17,3.26,51.30
VT,0.85,20,780.03,2.678,780.03,759.99,393.58,172.49,1435.81,518.98,288.51,126.44,550.61,98.4,152,138.1,139,0,10.70,36.45,3.51,3.26,39.05
VT,0.95,20,871.70,2.772,871.70,3192.44,551.36,241.64,6263.73,2350.16,379.78,166.45,2735.76,101.7,152,138.1,139,0,16.15,91.15,5.81,3.14,64.00
VT,1.05,20,963.28,2.792,963.28,5713.35,897.70,393.44,11145.04,4343.00,595.94,261.18,5449.39,114.7,178,138.1,139,0,23.15,126.00,5.46,3.65,89.30
PT,0.30,20,275.28,1.665,275.28,54.83,0.38,0.17,64.90,0.00,0.00,0.00,0.10,97.9,151,149.4,164,0,8.25,13.95,1.66,3.30,60.50
PT,0.50,20,460.70,2.036,460.70,56.62,0.93,0.41,77.71,0.01,0.04,0.02,0.98,97.1,151,159.3,187,0,11.80,21.95,1.91,3.28,51.45
PT,0.60,20,549.59,2.153,549.59,57.39,1.32,0.58,79.33,0.04,0.05,0.02,1.59,97.8,151,164.9,201,0,11.35,23.75,2.19,3.31,54.95
PT,0.65,20,596.31,2.188,596.31,58.60,1.10,0.48,86.97,0.18,0.18,0.08,2.44,97.5,157,168.8,202,0,13.95,29.65,2.11,3.31,46.55
PT,0.70,20,642.09,2.205,642.09,61.88,5.51,2.41,118.67,1.43,3.23,1.41,4.75,96.8,161,173.7,479,0,11.95,28.35,2.38,3.24,51.15
PT,0.75,20,689.32,2.512,689.32,74.57,44.87,19.67,278.19,3.74,5.03,2.20,13.57,98.3,162,183.0,1175,0,12.75,30.55,2.41,3.29,51.45
PT,0.80,20,733.94,2.231,733.94,76.17,8.44,3.70,188.17,10.36,5.03,2.20,15.92,97.0,149,191.3,341,0,12.00,30.85,2.62,3.24,53.90
PT,0.85,20,778.94,2.235,778.94,232.99,167.36,73.35,547.19,129.40,129.53,56.77,139.42,97.9,150,317.1,921,0,9.20,22.70,2.48,3.28,49.00
PT,0.95,20,871.58,2.162,871.58,1977.12,273.82,120.01,4568.22,1558.36,215.50,94.45,1676.37,98.9,152,1763.3,3075,0,9.40,33.10,3.67,3.31,59.15
PT,1.05,20,963.70,2.060,963.70,4255.56,317.48,139.14,9028.41,3480.22,260.79,114.30,4048.23,100.2,152,3707.9,5984,0,10.10,48.50,4.98,3.28,45.55
