Mode,Rho_Target,Rep,Lambda_Target_rps,Lambda_Achieved_rps,InterArrival_CV,Dispatched,Completed,Rejected,Success_Pct,Throughput_rps,Mean_Latency_ms,P99_ms,Nq_Semaphore_Mean,Nq_Semaphore_Max,Little_Nq_Check,Heap_Mean_MB,Heap_Max_MB,Threads_Mean,Threads_Max,GC_Collections,GC_Pause_Total_ms,GC_Pause_Mean_ms,Alloc_Rate_MB_s,Heap_Delta_MB
PT,0.75,5,595.30,594.37,2.169,17831,17831,0,100.0,594.37,59.84,74.02,0.02,2,0.00,130.8,203,171.0,185,33,112,3.39,4.97,33.00
PT,0.70,20,555.61,559.97,1.922,16799,16799,0,100.0,559.97,61.02,78.79,0.07,5,0.00,127.4,193,172.2,186,32,127,3.97,4.40,113.00
PT,0.65,1,515.93,518.17,1.976,15545,15545,0,100.0,518.17,61.24,76.05,0.02,3,0.00,130.6,186,169.1,188,29,122,4.21,4.20,130.00
PT,0.65,7,515.93,513.47,1.879,15404,15404,0,100.0,513.47,60.46,76.51,0.00,0,0.00,127.5,190,165.9,184,29,134,4.62,4.30,77.00
VT,0.75,7,595.30,593.93,2.360,17818,17818,0,100.0,593.93,62.18,77.93,0.06,5,0.00,116.2,170,134.0,135,38,176,4.63,3.87,65.00
PT,0.95,12,754.05,748.67,2.290,22460,22460,0,100.0,748.67,71.37,142.89,7.58,74,6.27,115.3,165,191.0,236,53,190,3.58,3.70,113.00
PT,0.85,5,674.67,671.63,2.142,20149,20149,0,100.0,671.63,64.17,96.98,1.75,21,0.79,111.6,166,177.4,195,34,158,4.65,3.73,70.00
VT,0.30,13,238.12,241.00,1.595,7230,7230,0,100.0,241.00,62.71,68.65,0.00,0,0.00,109.4,164,134.0,134,9,41,4.56,3.67,23.00
VT,0.95,13,754.05,751.03,2.673,22531,22531,0,100.0,751.03,72.06,109.74,6.73,42,6.81,120.2,167,133.4,134,32,262,8.19,3.80,97.00
PT,0.60,6,476.24,475.10,1.939,14253,14253,0,100.0,475.10,61.35,75.88,0.01,2,0.00,104.5,163,163.6,180,18,105,5.83,3.63,95.00
PT,0.50,7,396.87,396.33,1.838,11890,11890,0,100.0,396.33,61.00,73.88,0.00,0,0.00,105.8,155,157.8,166,15,98,6.53,3.37,83.00
PT,0.65,19,515.93,512.70,1.929,15381,15381,0,100.0,512.70,61.69,77.37,0.05,4,0.00,119.4,163,165.2,175,20,143,7.15,3.63,8.00
PT,0.85,1,674.67,678.00,2.166,20340,20340,0,100.0,678.00,64.34,98.17,1.87,29,0.91,111.0,160,181.0,207,27,160,5.93,3.53,92.00
PT,0.30,18,238.12,242.17,1.514,7265,7265,0,100.0,242.17,61.35,69.47,0.00,0,0.00,114.9,168,147.8,160,9,46,5.11,3.80,48.00
VT,0.80,6,634.99,643.70,2.415,19311,19311,0,100.0,643.70,62.95,83.06,0.34,19,0.00,114.9,164,134.0,134,26,188,7.23,3.70,27.00
VT,0.80,13,634.99,634.93,2.362,19048,19048,0,100.0,634.93,62.88,82.82,0.21,14,0.00,107.9,164,134.0,134,25,173,6.92,3.67,74.00
VT,0.95,18,754.05,751.03,2.556,22531,22531,0,100.0,751.03,71.65,124.44,7.40,53,6.50,115.1,165,133.0,133,32,197,6.16,3.70,110.00
