Mode,Rho_Target,Rep,Lambda_Target_rps,Lambda_Achieved_rps,InterArrival_CV,Dispatched,Completed,Rejected,Success_Pct,Throughput_rps,Mean_Latency_ms,P99_ms,Nq_Semaphore_Mean,Nq_Semaphore_Max,Little_Nq_Check,Heap_Mean_MB,Heap_Max_MB,Threads_Mean,Threads_Max,GC_Collections,GC_Pause_Total_ms,GC_Pause_Mean_ms,Alloc_Rate_MB_s,Heap_Delta_MB
PT,0.75,5,607.09,611.30,2.056,18339,18339,0,100.0,611.30,62.80,87.97,0.42,9,0.63,116.9,172,175.6,190,41,203,4.95,3.90,80.00
PT,0.70,20,566.62,563.33,2.001,16900,16900,0,100.0,563.33,62.71,84.67,0.26,20,0.53,125.2,172,172.0,187,41,199,4.85,3.70,27.00
PT,0.65,1,526.15,525.27,1.923,15758,15758,0,100.0,525.27,61.92,77.30,0.07,9,0.08,137.2,173,172.0,186,35,179,5.11,3.77,92.00
PT,0.65,7,526.15,527.90,1.938,15837,15837,0,100.0,527.90,61.78,78.11,0.00,0,0.01,133.2,173,168.9,181,33,169,5.12,3.97,90.00
VT,0.75,7,607.09,610.07,2.331,18302,18302,0,100.0,610.07,63.00,81.80,0.13,8,0.75,110.3,162,134.0,134,31,226,7.29,3.60,82.00
PT,0.95,12,768.98,770.43,2.261,23113,23113,0,100.0,770.43,115.62,224.90,38.28,129,41.49,109.1,157,228.4,306,40,267,6.68,3.43,50.00
PT,0.85,5,688.04,694.90,2.149,20847,20847,0,100.0,694.90,67.26,113.00,3.96,37,3.81,116.8,163,184.9,212,33,222,6.73,3.63,86.00
VT,0.30,13,242.84,244.07,1.611,7322,7322,0,100.0,244.07,63.27,69.37,0.00,0,0.37,110.2,163,134.0,134,9,56,6.22,3.63,42.00
VT,0.95,13,768.98,770.17,2.646,23105,23105,0,100.0,770.17,76.50,129.82,10.84,42,11.35,109.3,163,133.5,134,34,262,7.71,3.67,53.00
PT,0.60,6,485.67,481.63,1.852,14449,14449,0,100.0,481.63,61.27,76.44,0.00,0,0.00,116.8,161,163.0,173,18,137,7.61,3.57,106.00
PT,0.50,7,404.73,406.50,1.732,12195,12195,0,100.0,406.50,60.69,75.29,0.00,0,0.00,116.2,168,159.8,172,15,101,6.73,3.80,101.00
PT,0.65,19,526.15,529.67,4.022,15890,15890,0,100.0,529.67,196.16,985.87,67.35,873,71.18,114.9,163,287.8,1130,21,146,6.95,3.67,84.00
PT,0.85,1,688.04,694.00,2.115,20820,20820,0,100.0,694.00,65.82,99.05,1.81,22,2.81,114.8,161,180.6,202,28,191,6.82,3.57,103.00
PT,0.30,18,242.84,245.27,1.462,7358,7358,0,100.0,245.27,60.08,69.45,0.00,0,0.00,108.4,165,148.3,158,9,42,4.67,3.70,74.00
VT,0.80,6,647.57,648.63,2.374,19459,19459,0,100.0,648.63,63.48,88.16,0.80,22,1.11,112.0,163,133.0,133,26,232,8.92,3.67,60.00
