Mode,Rho_Target,Reps,Lambda_Achieved_Mean,InterArrival_CV_Mean,Throughput_Mean,Mean_Latency_ms,Std_Latency_ms,CI95_Latency_ms,P99_ms_Mean,Nq_Mean,Std_Nq,CI95_Nq,Little_Nq_Mean,Heap_Mean_MB,Heap_Max_MB,Threads_Mean,Threads_Max,Rejected_Total,GC_Collections_Mean,GC_Pause_Total_ms_Mean,GC_Pause_Mean_ms,Alloc_Rate_MB_s_Mean,Heap_Delta_MB_Mean
VT,0.30,20,236.98,1.583,236.98,62.73,0.44,0.19,68.33,0.00,0.00,0.00,0.02,113.6,175,132.3,134,0,8.60,34.35,3.99,3.81,60.40
VT,0.50,20,396.32,1.965,396.32,62.20,0.51,0.22,71.86,0.00,0.00,0.00,0.01,115.1,175,132.1,134,0,14.35,88.95,6.21,3.83,82.25
VT,0.60,20,475.51,2.165,475.51,62.54,1.63,0.72,79.02,0.06,0.25,0.11,0.16,114.2,175,132.3,134,0,17.60,113.45,6.45,3.75,73.25
VT,0.65,20,515.45,2.194,515.45,62.31,0.70,0.31,76.26,0.01,0.01,0.00,0.03,115.1,175,132.2,134,0,19.55,140.40,7.20,3.60,61.80
VT,0.70,20,555.83,2.269,555.83,62.59,0.87,0.38,78.43,0.06,0.05,0.02,0.11,114.8,172,132.1,133,0,21.25,155.75,7.34,3.75,54.15
VT,0.75,20,594.51,2.323,594.51,63.00,0.71,0.31,81.36,0.15,0.09,0.04,0.16,116.6,174,132.2,135,0,23.35,178.65,7.76,3.82,64.65
VT,0.80,20,633.82,2.386,633.82,63.43,0.75,0.33,83.52,0.36,0.14,0.06,0.38,115.3,172,132.3,134,0,24.50,186.15,7.60,3.76,49.80
VT,0.85,20,674.18,2.451,674.18,64.24,0.92,0.40,87.97,0.97,0.25,0.11,0.87,116.4,172,132.2,134,0,26.00,189.10,7.27,3.73,58.05
VT,0.95,20,754.30,2.639,754.30,73.92,5.01,2.19,127.72,8.28,3.27,1.43,8.25,118.0,189,132.3,134,0,29.80,209.55,7.04,3.84,75.20
VT,1.05,20,833.33,2.816,833.33,1084.47,364.29,159.66,1764.43,812.86,283.81,124.39,852.97,117.8,195,132.3,134,0,35.75,248.95,6.99,3.90,62.35
PT,0.30,20,238.43,1.483,238.43,60.77,0.42,0.18,68.83,0.00,0.00,0.00,0.00,115.0,176,147.1,165,0,8.75,43.00,4.92,3.79,48.40
PT,0.50,20,397.75,1.779,397.75,60.94,0.47,0.21,74.97,0.00,0.00,0.00,0.00,114.6,178,157.8,177,0,14.75,97.40,6.60,3.82,60.60
PT,0.60,20,476.75,1.906,476.75,61.33,0.58,0.25,76.24,0.01,0.02,0.01,0.00,115.9,174,162.7,190,0,17.75,116.25,6.56,3.83,67.10
PT,0.65,20,515.60,1.947,515.60,61.56,0.56,0.25,77.81,0.03,0.04,0.02,0.00,114.9,190,165.8,195,0,20.30,132.85,6.66,3.54,68.15
PT,0.70,20,556.14,1.992,556.14,61.65,0.67,0.29,78.68,0.11,0.08,0.04,0.00,116.0,193,167.8,208,0,21.65,133.45,6.21,3.82,56.95
PT,0.75,20,594.94,2.032,594.94,62.22,0.73,0.32,86.66,0.31,0.16,0.07,0.01,115.7,203,171.9,269,0,23.05,143.65,6.30,3.84,69.60
PT,0.80,20,634.41,2.071,634.41,62.78,0.96,0.42,89.96,0.75,0.30,0.13,0.17,116.4,176,174.2,204,0,24.35,158.70,6.53,3.80,56.65
PT,0.85,20,676.10,2.122,676.10,64.72,1.68,0.74,104.69,1.95,0.92,0.40,1.18,117.0,192,179.1,265,0,25.75,156.85,6.12,3.84,75.60
PT,0.95,20,754.18,2.236,754.18,81.20,8.34,3.66,154.62,14.15,5.56,2.44,13.75,117.0,194,197.0,332,0,31.85,191.30,6.13,3.88,72.15
PT,1.05,20,843.86,2.211,843.86,1975.49,1938.93,849.77,3045.29,1527.15,1651.71,723.89,1689.42,120.4,198,1737.3,10115,369,32.35,242.15,7.47,4.03,74.60
