Mode,Rho_Target,Reps,Lambda_Achieved_Mean,InterArrival_CV_Mean,Throughput_Mean,Mean_Latency_ms,Std_Latency_ms,CI95_Latency_ms,P99_ms_Mean,Nq_Mean,Std_Nq,CI95_Nq,Little_Nq_Mean,Heap_Mean_MB,Heap_Max_MB,Threads_Mean,Threads_Max,Rejected_Total,GC_Collections_Mean,GC_Pause_Total_ms_Mean,GC_Pause_Mean_ms,Alloc_Rate_MB_s_Mean,Heap_Delta_MB_Mean
VT,0.30,20,242.45,1.598,242.45,63.12,0.67,0.29,73.55,0.01,0.04,0.02,0.33,115.3,177,133.2,136,0,8.45,48.20,5.72,3.93,80.70
VT,0.50,20,404.18,2.023,404.18,63.06,1.52,0.67,74.16,0.00,0.00,0.00,0.55,118.4,191,133.0,135,0,14.20,102.35,7.21,3.99,69.45
VT,0.60,20,484.13,2.276,484.13,71.74,42.54,18.64,223.42,2.48,10.77,4.72,4.83,115.0,175,133.3,136,0,17.15,125.05,7.29,3.89,85.10
VT,0.65,20,526.15,2.225,526.15,62.41,0.58,0.25,77.75,0.03,0.06,0.02,0.35,118.9,178,133.0,135,0,19.30,160.45,8.32,3.86,59.55
VT,0.70,20,566.61,2.279,566.61,62.60,0.58,0.25,79.58,0.07,0.06,0.03,0.48,118.2,194,133.0,133,0,20.60,173.90,8.46,3.94,71.05
VT,0.75,20,606.98,2.312,606.98,62.74,0.52,0.23,80.77,0.18,0.07,0.03,0.59,118.0,196,133.2,135,0,22.35,199.05,8.94,3.99,64.00
VT,0.80,20,648.62,2.412,648.62,63.70,0.43,0.19,84.96,0.53,0.21,0.09,1.25,118.0,189,133.0,135,0,24.20,209.55,8.67,3.94,63.85
VT,0.85,20,688.02,2.476,688.02,66.26,6.52,2.86,99.05,2.22,3.44,1.51,3.09,120.3,180,133.1,135,0,25.15,218.15,8.67,3.96,82.85
VT,0.95,20,768.94,2.695,768.94,141.28,243.06,106.53,239.26,60.21,186.09,81.56,61.11,119.9,195,133.2,135,0,29.40,248.60,8.48,3.98,60.30
VT,1.05,20,849.43,2.916,849.43,1901.96,826.98,362.44,3022.73,1435.61,561.71,246.18,1563.21,125.1,213,133.1,134,0,34.20,284.75,8.40,4.32,82.70
PT,0.30,20,242.95,1.483,242.95,60.96,0.42,0.18,70.12,0.00,0.00,0.00,0.00,116.7,176,148.4,171,0,8.70,49.90,5.75,3.95,57.50
PT,0.50,20,404.48,1.765,404.48,61.36,1.25,0.55,76.20,0.00,0.00,0.00,0.13,117.0,176,158.8,201,0,14.55,106.00,7.29,3.96,71.25
PT,0.60,20,485.22,1.863,485.22,62.09,2.15,0.94,88.44,0.27,1.13,0.50,0.27,118.5,178,165.1,437,0,17.50,131.80,7.53,3.92,74.65
PT,0.65,20,528.72,2.031,528.72,68.96,29.20,12.80,126.73,3.48,14.65,6.42,3.84,116.4,202,173.8,1130,0,20.50,147.05,7.34,3.54,63.15
PT,0.70,20,566.44,1.998,566.44,63.07,1.74,0.76,89.24,0.27,0.30,0.13,0.74,117.9,180,170.4,213,0,21.70,157.35,7.39,3.98,67.05
PT,0.75,20,607.32,2.028,607.32,63.97,3.97,1.74,91.83,0.82,1.26,0.55,1.34,120.5,219,175.0,260,0,22.60,163.00,7.32,4.11,71.75
PT,0.80,20,646.91,2.091,646.91,69.27,13.23,5.80,122.64,3.80,6.84,3.00,4.84,120.6,202,181.3,385,0,23.35,182.85,7.85,4.02,78.70
PT,0.85,20,688.63,2.138,688.63,109.27,184.82,81.00,183.86,31.50,122.75,53.80,32.68,119.8,180,211.0,1025,0,26.00,191.95,7.40,3.93,75.20
PT,0.95,20,767.94,2.285,767.94,108.57,28.40,12.45,215.68,35.35,21.79,9.55,36.02,120.7,200,222.0,370,0,29.95,223.50,7.49,4.03,73.75
PT,1.05,20,850.43,2.123,850.43,2277.56,896.40,392.86,3692.10,1707.96,621.87,272.54,1886.14,124.6,206,1915.6,6718,0,30.50,273.95,9.01,4.49,92.70
