Mode,Rho_Target,Rep,Lambda_Target_rps,Lambda_Achieved_rps,InterArrival_CV,Dispatched,Completed,Rejected,Success_Pct,Throughput_rps,Mean_Latency_ms,P99_ms,Nq_Hikari_Mean,Nq_Hikari_Max,Little_Nq_Check,Heap_Mean_MB,Heap_Max_MB,Threads_Mean,Threads_Max
PT,1.05,3,697.44,690.69,2.490,31081,31081,0,100.0,690.69,63.51,83.65,0.00,0,0.00,125.4,191,175.2,190
PT,0.30,5,199.27,200.91,1.488,9041,9041,0,100.0,200.91,61.91,74.54,0.00,0,0.00,123.9,181,146.0,152
PT,0.85,1,564.59,566.36,2.313,25486,25486,0,100.0,566.36,64.08,83.53,0.00,1,0.00,115.8,182,164.6,180
VT,0.70,5,464.96,472.69,2.465,21271,21271,0,100.0,472.69,63.41,77.98,0.00,0,0.00,109.3,164,139.0,139
PT,0.95,3,631.02,622.36,2.324,28006,28006,0,100.0,622.36,63.64,83.13,0.00,0,0.00,107.5,163,172.2,187
PT,0.30,4,199.27,197.31,1.491,8879,8879,0,100.0,197.31,61.66,73.62,0.00,0,0.00,113.3,165,145.7,152
VT,0.70,2,464.96,462.89,2.461,20830,20830,0,100.0,462.89,62.71,77.35,0.00,0,0.00,108.4,164,138.0,138
VT,0.95,1,631.02,631.82,2.857,28432,28432,0,100.0,631.82,66.37,181.57,0.98,98,0.00,111.9,163,138.2,139
PT,0.30,2,199.27,199.98,1.532,8999,8999,0,100.0,199.98,61.93,75.89,0.00,0,0.00,110.6,166,148.9,161
PT,0.95,2,631.02,636.53,2.410,28644,28644,0,100.0,636.53,64.13,84.26,0.00,0,0.00,110.8,167,170.9,194
PT,0.85,4,564.59,565.09,2.316,25429,25429,0,100.0,565.09,62.95,81.78,0.00,0,0.00,111.1,163,164.8,182
PT,1.05,2,697.44,693.82,2.450,31222,31222,0,100.0,693.82,63.76,83.06,0.00,0,0.00,115.4,168,170.2,192
VT,0.95,3,631.02,629.89,2.913,28345,28345,0,100.0,629.89,64.59,79.45,0.00,0,0.00,108.2,167,138.0,138
VT,0.70,4,464.96,463.29,2.409,20848,20848,0,100.0,463.29,62.99,77.81,0.00,0,0.00,113.2,167,138.0,138
VT,0.85,1,564.59,560.91,2.765,25241,25241,0,100.0,560.91,63.66,77.78,0.00,0,0.00,109.4,160,138.0,138
VT,0.50,5,332.11,333.04,2.005,14987,14987,0,100.0,333.04,62.56,77.28,0.00,0,0.00,107.5,159,138.0,138
VT,0.85,4,564.59,568.04,2.761,25562,25562,0,100.0,568.04,63.52,77.80,0.00,0,0.00,108.1,162,138.0,138
