Mode,Rho_Target,Reps,Lambda_Achieved_Mean,InterArrival_CV_Mean,Throughput_Mean,Mean_Latency_ms,Std_Latency_ms,CI95_Latency_ms,P99_ms_Mean,Nq_Mean,Std_Nq,CI95_Nq,Little_Nq_Mean,Heap_Mean_MB,Heap_Max_MB,Threads_Mean,Threads_Max,Rejected_Total
VT,0.30,5,199.33,1.540,199.33,62.97,0.18,0.15,65.06,0.00,0.00,0.00,0.00,105.0,164,138.0,139,0
VT,0.50,5,332.60,2.028,332.60,62.88,0.21,0.19,77.44,0.00,0.00,0.00,0.00,108.7,162,138.2,139,0
VT,0.70,5,465.60,2.449,465.60,63.23,0.36,0.31,77.73,0.00,0.00,0.00,0.00,109.7,167,138.2,139,0
VT,0.85,5,564.75,2.729,564.75,63.51,0.15,0.13,77.97,0.00,0.00,0.00,0.00,108.7,164,138.0,138,0
VT,0.95,5,629.00,2.870,629.00,64.44,1.02,0.90,99.21,0.20,0.39,0.34,0.00,109.6,167,138.1,139,0
VT,1.05,5,696.01,3.041,696.01,65.23,0.44,0.39,82.85,0.00,0.01,0.01,0.00,105.6,163,138.0,138,0
PT,0.30,5,199.64,1.489,199.64,61.84,0.10,0.09,74.65,0.00,0.00,0.00,0.00,111.3,181,146.0,161,0
PT,0.50,5,332.01,1.859,332.01,61.99,0.32,0.28,75.42,0.00,0.00,0.00,0.00,103.7,167,152.4,168,0
PT,0.70,5,463.51,2.148,463.51,62.53,0.45,0.39,78.81,0.00,0.00,0.00,0.00,107.0,157,160.1,175,0
PT,0.85,5,562.64,2.283,562.64,63.56,0.57,0.50,83.09,0.00,0.00,0.00,0.00,109.5,182,166.5,199,0
PT,0.95,5,633.28,2.358,633.28,63.91,0.28,0.25,84.26,0.00,0.00,0.00,0.00,106.7,167,170.3,203,0
PT,1.05,5,696.43,2.446,696.43,63.91,0.29,0.26,83.79,0.00,0.00,0.00,0.00,114.1,191,175.2,205,0
