Mode,Rho_Target,Rep,Lambda_Target_rps,Lambda_Achieved_rps,InterArrival_CV,Dispatched,Completed,Rejected,Success_Pct,Throughput_rps,Mean_Latency_ms,P99_ms,Nq_Hikari_Mean,Nq_Hikari_Max,Little_Nq_Check,Heap_Mean_MB,Heap_Max_MB,Threads_Mean,Threads_Max
PT,1.05,3,863.67,866.60,2.275,38997,38997,0,100.0,866.60,271.71,708.34,177.72,560,182.78,119.2,173,364.6,720
PT,0.30,5,246.76,251.09,1.595,11299,11299,0,100.0,251.09,56.29,72.56,0.00,0,0.00,119.4,178,148.3,154
PT,0.85,1,699.16,702.91,2.305,31631,31631,0,100.0,702.91,75.37,204.44,7.44,112,10.25,114.1,180,182.1,282
VT,0.70,5,575.78,575.16,2.420,25882,25882,0,100.0,575.16,62.73,101.55,0.47,14,1.12,116.7,173,139.0,139
PT,0.95,3,781.42,779.67,2.290,35085,35085,0,100.0,779.67,118.70,337.52,42.68,227,45.15,109.0,170,234.7,381
PT,0.30,4,246.76,244.47,1.608,11001,11001,0,100.0,244.47,56.08,68.32,0.00,0,0.00,114.2,168,148.2,162
VT,0.70,2,575.78,578.42,2.369,26029,26029,0,100.0,578.42,63.00,101.11,0.51,21,1.28,114.0,167,138.2,139
VT,0.95,1,781.42,778.51,2.595,35033,35033,0,100.0,778.51,245.03,789.17,139.23,587,143.43,111.9,168,138.0,138
PT,0.30,2,246.76,246.09,1.628,11074,11074,0,100.0,246.09,56.47,73.59,0.00,0,0.00,112.2,163,149.0,158
PT,0.95,2,781.42,778.73,2.297,35043,35043,0,100.0,778.73,81.12,169.18,13.55,93,15.84,104.7,158,194.9,252
PT,0.85,4,699.16,693.20,2.230,31194,31194,0,100.0,693.20,80.78,286.77,11.33,169,13.86,111.5,166,190.4,358
PT,1.05,2,863.67,777.24,6.933,34976,34976,0,100.0,777.24,3840.47,16771.42,2164.65,6126,2937.74,105.7,164,2566.7,6406
VT,0.95,3,781.42,788.00,2.723,35460,35460,0,100.0,788.00,251.03,786.51,147.88,638,149.91,116.0,165,138.0,138
VT,0.70,4,575.78,578.73,2.437,26043,26043,0,100.0,578.73,67.08,160.66,1.93,70,3.64,114.5,166,138.0,138
VT,0.85,1,699.16,701.27,2.616,31557,31557,0,100.0,701.27,103.68,371.33,25.57,246,30.08,111.9,163,138.0,138
VT,0.50,5,411.27,413.82,2.108,18622,18622,0,100.0,413.82,58.79,83.25,0.00,0,0.00,111.2,164,138.0,138
VT,0.85,4,699.16,703.51,2.585,31658,31658,0,100.0,703.51,130.54,592.87,42.17,409,49.07,112.8,163,138.0,138
VT,0.85,3,699.16,694.47,2.617,31251,31251,0,100.0,694.47,133.85,441.77,43.48,273,50.74,110.7,164,138.0,138
PT,1.05,1,863.67,861.96,2.344,38788,38788,0,100.0,861.96,354.45,674.28,249.88,506,253.12,108.5,163,442.5,693
VT,0.85,5,699.16,695.04,2.611,31277,31277,0,100.0,695.04,195.93,754.23,88.63,499,93.93,111.0,167,138.0,138
VT,0.50,2,411.27,409.76,2.124,18439,18439,0,100.0,409.76,60.73,89.09,0.00,1,0.00,108.3,166,138.0,138
PT,0.95,5,781.42,784.87,2.233,35319,35319,0,100.0,784.87,122.18,483.30,46.30,309,48.19,112.0,164,230.1,474
VT,0.50,4,411.27,414.76,2.093,18664,18664,0,100.0,414.76,57.17,77.89,0.00,0,0.00,112.5,164,138.0,138
PT,0.85,3,699.16,700.16,2.274,31507,31507,0,100.0,700.16,76.33,196.52,7.88,114,10.88,108.9,159,186.6,254
VT,1.05,3,863.67,869.47,2.777,39126,39126,0,100.0,869.47,3533.64,7457.99,2870.96,3507,3019.53,118.2,167,138.0,138
PT,1.05,4,863.67,862.44,2.325,38810,38810,0,100.0,862.44,704.95,1543.36,550.32,835,555.55,108.9,163,742.0,1011
PT,0.50,1,411.27,416.44,2.041,18740,18740,0,100.0,416.44,56.54,74.73,0.00,0,0.00,111.1,168,156.8,171
VT,0.30,3,246.76,249.60,1.638,11232,11232,0,100.0,249.60,56.54,69.13,0.00,0,0.00,110.5,168,138.0,138
VT,0.30,2,246.76,242.73,1.641,10923,10923,0,100.0,242.73,56.88,70.16,0.00,0,0.00,111.4,170,138.0,138
VT,0.70,1,575.78,577.67,2.397,25995,25995,0,100.0,577.67,65.16,147.72,1.01,38,2.53,113.4,170,138.0,138
VT,0.95,2,781.42,783.22,2.662,35245,35245,0,100.0,783.22,182.49,798.32,93.77,575,95.32,112.5,163,138.6,139
VT,0.50,1,411.27,410.04,2.084,18452,18452,0,100.0,410.04,59.97,86.79,0.01,1,0.00,118.3,166,138.4,139
VT,1.05,4,863.67,872.11,2.707,39245,39245,0,100.0,872.11,4378.63,9316.27,3498.43,4457,3765.64,135.4,171,138.0,138
VT,0.95,5,781.42,780.49,2.622,35122,35122,0,100.0,780.49,221.13,681.27,119.65,480,125.15,116.2,175,139.0,139
PT,0.50,3,411.27,419.38,1.944,18872,18872,0,100.0,419.38,58.06,82.53,0.00,0,0.00,119.7,176,159.8,173
VT,0.95,4,781.42,786.27,2.630,35382,35382,0,100.0,786.27,135.55,471.45,55.94,318,58.79,113.9,167,138.0,138
VT,1.05,1,863.67,869.91,2.726,39146,39146,0,100.0,869.91,507.28,1243.63,375.59,952,388.41,118.5,167,138.8,139
PT,0.85,2,699.16,701.13,2.200,31551,31551,0,100.0,701.13,74.85,181.86,8.34,133,9.86,109.6,171,187.1,239
PT,0.70,4,575.78,572.62,2.148,25768,25768,0,100.0,572.62,64.41,97.50,0.33,16,2.08,111.3,172,169.8,201
