Mode,Rho_Target,Rep,Lambda_Target_rps,Lambda_Achieved_rps,InterArrival_CV,Dispatched,Completed,Rejected,Success_Pct,Throughput_rps,Mean_Latency_ms,P99_ms,Nq_Hikari_Mean,Nq_Hikari_Max,Little_Nq_Check,Heap_Mean_MB,Heap_Max_MB,Threads_Mean,Threads_Max,GC_Collections,GC_Pause_Total_ms,GC_Pause_Mean_ms,Alloc_Rate_MB_s,Heap_Delta_MB
PT,0.85,3,748.80,758.31,2.337,34124,34124,0,100.0,758.31,74.58,164.03,7.74,96,13.52,117.4,171,195.2,246,55,156.00,2.84,2.49,9.00
PT,0.60,4,528.56,530.49,2.109,23872,23872,0,100.0,530.49,62.57,89.08,0.11,12,3.09,112.8,179,166.6,189,47,105.00,2.23,2.62,8.00
PT,0.70,2,616.66,619.29,2.165,27868,27868,0,100.0,619.29,67.06,142.91,1.84,38,6.38,118.8,174,172.0,204,48,118.00,2.46,2.51,38.00
PT,0.65,5,572.61,574.27,2.136,25842,25842,0,100.0,574.27,62.87,95.04,0.23,17,3.51,112.9,170,169.4,191,30,77.00,2.57,2.58,115.00
PT,0.80,2,704.75,708.76,2.252,31894,31894,0,100.0,708.76,72.77,164.32,6.53,68,11.35,114.2,166,178.5,243,28,85.00,3.04,2.49,83.00
PT,0.30,5,264.28,267.09,1.640,12019,12019,0,100.0,267.09,55.85,67.83,0.00,0,0.00,108.4,169,143.1,153,10,16.00,1.60,2.53,57.00
PT,0.70,1,616.66,616.13,2.203,27726,27726,0,100.0,616.13,63.76,94.27,0.51,13,4.31,101.1,168,166.7,186,26,62.00,2.38,2.53,59.00
PT,0.30,2,264.28,263.31,1.623,11849,11849,0,100.0,263.31,55.81,66.09,0.00,0,0.00,113.8,167,142.1,151,10,15.00,1.50,2.51,102.00
VT,0.60,3,528.56,532.13,2.315,23946,23946,0,100.0,532.13,59.39,89.16,0.08,11,1.40,114.5,170,138.0,138,20,49.00,2.45,2.56,70.00
PT,0.60,5,528.56,533.29,2.089,23998,23998,0,100.0,533.29,62.38,92.48,0.19,10,3.00,112.5,166,168.4,197,27,53.00,1.96,2.49,7.00
VT,0.70,5,616.66,618.60,2.512,27837,27837,0,100.0,618.60,65.77,117.08,0.99,28,5.57,115.3,171,138.0,138,24,96.00,4.00,2.58,14.00
VT,0.95,2,836.89,836.56,2.735,37645,37645,0,100.0,836.56,321.82,718.72,215.89,556,221.74,113.6,166,138.0,138,34,89.00,2.62,2.47,32.00
PT,0.60,1,528.56,524.98,2.054,23624,23624,0,100.0,524.98,60.66,88.58,0.04,6,2.05,116.2,171,166.7,183,24,47.00,1.96,2.58,106.00
PT,1.05,3,924.98,928.24,2.159,41771,41771,0,100.0,928.24,2855.84,6725.71,2377.81,4189,2598.23,114.0,165,2594.7,4374,30,157.00,5.23,2.44,92.00
VT,0.30,4,264.28,261.71,1.678,11777,11777,0,100.0,261.71,56.42,67.76,0.00,1,0.00,113.0,169,138.0,138,10,17.00,1.70,2.53,21.00
PT,1.05,4,924.98,926.87,2.078,41709,41709,0,100.0,926.87,3669.32,8733.24,3040.42,4955,3348.37,110.2,169,3232.6,5084,31,188.00,6.06,2.56,10.00
VT,0.50,2,440.47,440.00,2.214,19800,19800,0,100.0,440.00,56.75,72.60,0.00,0,0.00,111.8,172,139.0,139,17,33.00,1.94,2.62,17.00
VT,1.05,2,924.98,923.38,2.825,41552,41552,0,100.0,923.38,3598.67,7515.06,3016.43,4497,3270.52,126.0,190,138.0,138,59,261.00,4.42,3.00,84.00
VT,1.05,1,924.98,928.07,2.781,41763,41763,0,100.0,928.07,3521.93,7132.84,2916.23,4884,3215.91,124.9,189,138.0,138,69,251.00,3.64,3.00,136.00
PT,0.50,1,440.47,435.60,2.055,19602,19602,0,100.0,435.60,57.31,79.43,0.00,0,0.24,112.4,176,159.2,174,24,39.00,1.63,2.69,33.00
VT,0.85,3,748.80,741.38,2.602,33362,33362,0,100.0,741.38,309.95,1086.71,186.22,786,187.71,120.5,176,138.0,138,31,104.00,3.35,2.69,25.00
VT,0.70,2,616.66,620.76,2.564,27934,27934,0,100.0,620.76,60.93,96.07,0.19,11,2.59,116.2,174,138.0,138,23,63.00,2.74,2.64,42.00
PT,0.50,3,440.47,442.27,2.063,19902,19902,0,100.0,442.27,57.06,78.10,0.00,0,0.13,117.3,172,159.3,183,16,31.00,1.94,2.60,18.00
PT,0.85,5,748.80,754.31,2.328,33944,33944,0,100.0,754.31,139.89,558.95,55.93,374,62.71,115.6,174,236.3,508,27,76.00,2.81,2.64,37.00
VT,0.50,4,440.47,444.58,2.151,20006,20006,0,100.0,444.58,58.54,83.66,0.00,0,0.79,114.6,172,138.0,138,16,46.00,2.88,2.60,70.00
VT,0.60,4,528.56,530.84,2.395,23888,23888,0,100.0,530.84,60.43,89.83,0.09,10,1.95,113.5,170,138.0,138,19,50.00,2.63,2.56,102.00
PT,0.95,2,836.89,837.53,2.369,37689,37689,0,100.0,837.53,179.60,574.82,101.14,427,102.89,112.9,174,287.0,589,29,79.00,2.72,2.64,9.00
PT,0.95,3,836.89,835.96,2.272,37618,37618,0,100.0,835.96,100.70,260.02,33.04,183,36.74,116.4,168,215.7,369,28,75.00,2.68,2.51,115.00
VT,0.85,2,748.80,745.73,2.650,33558,33558,0,100.0,745.73,253.96,732.00,136.84,474,147.06,119.9,176,138.0,138,29,100.00,3.45,2.69,31.00
VT,0.60,1,528.56,528.47,2.378,23781,23781,0,100.0,528.47,58.89,86.63,0.06,7,1.13,113.0,167,138.0,138,19,44.00,2.32,2.49,92.00
VT,0.30,5,264.28,267.58,1.736,12041,12041,0,100.0,267.58,56.69,68.86,0.00,0,0.00,116.8,172,138.5,139,10,16.00,1.60,2.60,7.00
PT,0.30,4,264.28,265.80,1.648,11961,11961,0,100.0,265.80,56.16,69.25,0.00,0,0.00,108.3,164,150.2,157,11,20.00,1.82,2.51,88.00
PT,0.70,4,616.66,620.09,2.198,27904,27904,0,100.0,620.09,65.98,119.62,1.08,38,5.72,106.7,152,178.3,226,28,72.00,2.57,2.27,71.00
PT,0.70,5,616.66,613.44,2.179,27605,27605,0,100.0,613.44,67.58,147.61,1.55,43,6.64,113.9,162,172.6,218,28,64.00,2.29,2.38,10.00
PT,0.75,2,660.70,665.02,2.188,29926,29926,0,100.0,665.02,71.55,168.97,4.42,89,9.84,108.5,157,177.5,222,30,66.00,2.20,2.27,12.00
PT,0.75,3,660.70,664.64,2.183,29909,29909,0,100.0,664.64,76.32,220.26,6.93,123,13.00,110.7,161,180.8,257,28,76.00,2.71,2.36,98.00
PT,1.05,1,924.98,925.18,2.239,41633,41633,0,100.0,925.18,2442.72,5894.08,2034.67,3639,2207.44,109.4,161,2223.1,3747,33,165.00,5.00,2.36,64.00
