Mode,Rho_Target,Reps,Lambda_Achieved_Mean,InterArrival_CV_Mean,Throughput_Mean,Mean_Latency_ms,Std_Latency_ms,CI95_Latency_ms,P99_ms_Mean,Nq_Mean,Std_Nq,CI95_Nq,Little_Nq_Mean,Heap_Mean_MB,Heap_Max_MB,Threads_Mean,Threads_Max,Rejected_Total
VT,0.30,5,247.91,1.636,247.91,56.54,0.33,0.29,69.14,0.00,0.00,0.00,0.00,111.3,170,138.0,138,0
VT,0.50,5,411.76,2.092,411.76,59.09,1.21,1.06,84.28,0.00,0.00,0.00,0.00,112.6,168,138.1,139,0
VT,0.70,5,576.10,2.407,576.10,64.64,1.61,1.41,122.37,0.84,0.60,0.53,2.22,114.7,173,138.2,139,0
VT,0.85,5,698.67,2.602,698.67,131.17,36.06,31.61,491.27,43.41,24.70,21.65,49.11,111.6,170,138.0,138,0
VT,0.95,5,783.30,2.646,783.30,207.05,43.10,37.78,705.35,111.29,33.34,29.23,114.52,114.1,175,138.3,139,0
VT,1.05,5,866.99,2.742,866.99,1917.82,1703.14,1492.87,4084.52,1527.13,1383.44,1212.64,1615.37,119.9,171,138.2,139,0
PT,0.30,5,247.51,1.601,247.51,56.38,0.21,0.19,71.80,0.00,0.00,0.00,0.00,115.0,178,148.0,162,0
PT,0.50,5,415.06,1.949,415.06,59.37,1.84,1.62,83.27,0.00,0.00,0.00,0.08,114.6,176,158.9,187,0
PT,0.70,5,571.80,2.135,571.80,64.45,0.22,0.20,98.74,0.42,0.14,0.12,2.10,112.3,173,171.3,221,0
PT,0.85,5,700.37,2.256,700.37,75.53,3.35,2.93,205.02,7.74,2.44,2.14,10.31,110.4,180,186.2,358,0
PT,0.95,5,780.16,2.279,780.16,125.70,42.13,36.93,371.32,48.22,32.45,28.45,50.61,110.8,170,232.6,498,0
PT,1.05,5,846.55,3.226,846.55,1265.53,1324.71,1161.16,4604.17,804.03,723.93,634.56,975.22,112.7,173,1037.2,6406,0
