Mode,Rho_Target,Reps,Lambda_Achieved_Mean,InterArrival_CV_Mean,Throughput_Mean,Mean_Latency_ms,Std_Latency_ms,CI95_Latency_ms,P99_ms_Mean,Nq_Mean,Std_Nq,CI95_Nq,Little_Nq_Mean,Heap_Mean_MB,Heap_Max_MB,Threads_Mean,Threads_Max,Rejected_Total,GC_Collections_Mean,GC_Pause_Total_ms_Mean,GC_Pause_Mean_ms,Alloc_Rate_MB_s_Mean,Heap_Delta_MB_Mean
VT,0.30,5,265.01,1.684,265.01,56.59,0.12,0.11,69.44,0.00,0.00,0.00,0.00,115.7,177,138.3,139,0,9.40,15.20,1.62,2.63,59.40
VT,0.50,5,442.64,2.180,442.64,57.52,0.63,0.55,79.02,0.01,0.01,0.01,0.34,115.1,178,138.2,139,0,18.00,36.80,2.08,2.60,52.40
VT,0.60,5,529.11,2.352,529.11,59.53,0.54,0.47,88.01,0.05,0.03,0.03,1.47,113.1,170,138.1,139,0,19.80,51.60,2.60,2.50,79.60
VT,0.65,5,571.38,2.393,571.38,60.80,1.09,0.95,92.06,0.23,0.09,0.08,2.31,108.8,164,138.1,139,0,24.00,63.60,2.64,2.36,52.80
VT,0.70,5,616.03,2.497,616.03,64.21,2.93,2.57,115.18,0.87,0.88,0.77,4.59,114.2,176,138.0,138,0,25.60,76.80,3.02,2.55,41.20
VT,0.75,5,658.95,2.527,658.95,82.84,10.16,8.91,260.76,11.15,5.80,5.08,17.19,115.1,177,138.1,139,0,26.60,77.80,2.95,2.53,35.00
VT,0.80,5,704.64,2.604,704.64,121.52,25.83,22.64,408.96,37.69,17.06,14.96,45.69,110.1,178,138.0,139,0,29.80,91.00,3.07,2.43,41.00
VT,0.85,5,746.58,2.630,746.58,231.61,47.77,41.88,703.45,122.54,37.41,32.79,130.39,116.7,178,138.0,138,0,29.60,92.60,3.13,2.61,47.40
VT,0.95,5,835.09,2.720,835.09,732.42,558.88,489.88,1557.78,546.95,450.60,394.97,564.09,114.3,178,138.0,138,0,37.20,119.80,3.17,2.39,56.40
VT,1.05,5,922.93,2.770,922.93,3512.41,1067.24,935.48,7351.49,2896.38,862.45,755.97,3189.09,125.1,198,138.0,138,0,62.00,251.80,4.07,2.80,100.20
PT,0.30,5,265.56,1.640,265.56,56.05,0.19,0.17,68.89,0.00,0.00,0.00,0.00,109.5,169,146.4,163,0,10.80,16.80,1.56,2.47,65.80
PT,0.50,5,441.05,2.010,441.05,57.67,0.67,0.58,80.70,0.00,0.00,0.00,0.40,112.3,176,159.1,183,0,20.00,36.40,1.84,2.49,38.20
PT,0.60,5,529.04,2.110,529.04,61.54,0.93,0.82,89.18,0.09,0.06,0.05,2.53,112.1,179,167.7,197,0,29.40,68.60,2.36,2.53,45.80
PT,0.65,5,572.14,2.169,572.14,62.81,0.92,0.80,98.70,0.38,0.15,0.14,3.46,109.4,170,168.2,199,0,27.40,69.40,2.53,2.45,37.40
PT,0.70,5,617.31,2.187,617.31,65.56,1.69,1.49,119.43,1.16,0.48,0.42,5.43,110.8,174,172.4,226,0,31.20,75.60,2.42,2.45,58.80
PT,0.75,5,661.95,2.208,661.95,72.21,2.25,1.97,179.42,4.73,1.29,1.13,10.23,109.7,166,179.5,265,0,28.80,71.60,2.49,2.36,41.60
PT,0.80,5,704.33,2.239,704.33,79.78,8.69,7.62,224.33,10.48,5.46,4.78,16.20,109.9,180,187.0,355,0,28.00,77.20,2.76,2.53,62.40
PT,0.85,5,752.76,2.322,752.76,95.63,22.97,20.13,296.97,23.20,16.94,14.85,29.26,114.6,178,205.8,508,0,33.20,92.00,2.76,2.56,46.20
PT,0.95,5,838.19,2.336,838.19,128.41,28.23,24.74,340.61,55.90,24.63,21.59,60.09,113.0,174,241.4,589,0,28.80,78.40,2.72,2.54,85.40
PT,1.05,5,926.22,2.133,926.22,3067.24,410.59,359.90,7183.61,2550.16,337.54,295.87,2788.53,112.3,175,2751.5,5084,0,31.00,172.00,5.56,2.49,51.00
