Mode,Rho_Target,Rep,Lambda_Target_rps,Lambda_Achieved_rps,InterArrival_CV,Dispatched,Completed,Rejected,Success_Pct,Throughput_rps,Mean_Latency_ms,P99_ms,Nq_Semaphore_Mean,Nq_Semaphore_Max,Little_Nq_Check,Heap_Mean_MB,Heap_Max_MB,Threads_Mean,Threads_Max,GC_Collections,GC_Pause_Total_ms,GC_Pause_Mean_ms,Alloc_Rate_MB_s,Heap_Delta_MB
PT,0.85,3,677.67,685.96,3.891,30868,30868,0,100.0,685.96,498.36,2301.67,291.26,1562,298.83,1579.0,2072,483.8,1766,14,79,5.64,22.22,474.00
PT,0.60,4,478.36,479.40,1.940,21573,21573,0,100.0,479.40,61.32,76.34,0.00,0,0.00,1538.8,2053,165.9,177,9,66,7.33,21.64,480.00
PT,0.70,2,558.08,561.27,2.042,25257,25257,0,100.0,561.27,62.33,80.80,0.13,9,0.00,1558.6,2086,170.8,190,13,94,7.23,22.47,666.00
PT,0.65,5,518.22,514.47,1.944,23151,23151,0,100.0,514.47,62.00,77.22,0.01,2,0.00,1570.9,2072,167.0,178,13,78,6.00,22.16,191.00
PT,0.80,2,637.81,626.64,2.014,28199,28199,0,100.0,626.64,62.35,84.47,0.68,12,0.00,1588.4,2074,175.3,196,13,71,5.46,22.20,538.00
PT,0.30,5,239.18,242.58,1.466,10916,10916,0,100.0,242.58,60.39,69.17,0.00,0,0.00,1647.2,2089,148.9,161,6,26,4.33,22.53,50.00
PT,0.70,1,558.08,555.71,1.985,25007,25007,0,100.0,555.71,61.24,77.31,0.03,3,0.00,1556.7,2091,170.0,186,13,63,4.85,22.58,280.00
PT,0.30,2,239.18,239.67,1.474,10785,10785,0,100.0,239.67,60.84,69.57,0.00,0,0.00,1558.3,2064,147.5,155,5,30,6.00,21.98,607.00
VT,0.60,3,478.36,474.53,2.067,21354,21354,0,100.0,474.53,61.90,74.23,0.00,0,0.00,1554.0,2083,133.0,133,5,40,8.00,22.42,174.00
PT,0.60,5,478.36,477.04,1.907,21467,21467,0,100.0,477.04,61.65,77.64,0.04,8,0.00,1613.3,2082,162.9,177,10,184,18.40,22.38,62.00
