Mode,Rho_Target,Reps,Lambda_Achieved_Mean,InterArrival_CV_Mean,Throughput_Mean,Mean_Latency_ms,Std_Latency_ms,CI95_Latency_ms,P99_ms_Mean,Nq_Mean,Std_Nq,CI95_Nq,Little_Nq_Mean,Heap_Mean_MB,Heap_Max_MB,Threads_Mean,Threads_Max,Rejected_Total,GC_Collections_Mean,GC_Pause_Total_ms_Mean,GC_Pause_Mean_ms,Alloc_Rate_MB_s_Mean,Heap_Delta_MB_Mean
VT,0.30,5,240.05,1.599,240.05,63.16,0.48,0.42,68.54,0.00,0.00,0.00,0.13,185.5,634,132.6,135,0,9.60,56.40,6.27,4.16,79.20
VT,0.50,5,398.51,1.990,398.51,62.70,0.27,0.24,72.05,0.00,0.00,0.00,0.05,130.3,195,132.4,133,0,21.00,146.80,7.26,2.83,99.40
VT,0.60,5,476.30,2.103,476.30,62.10,0.34,0.30,73.68,0.00,0.00,0.00,0.00,412.9,2083,132.7,133,0,18.60,146.60,7.90,6.71,113.20
VT,0.65,5,519.28,2.798,519.28,104.15,83.30,73.01,461.98,17.89,35.76,31.34,21.39,131.1,215,132.3,134,0,23.80,195.40,8.27,2.90,62.20
VT,0.70,5,557.47,2.244,557.47,62.51,0.58,0.51,77.79,0.05,0.06,0.05,0.08,414.9,2079,132.4,134,0,22.00,203.00,10.12,7.48,277.40
VT,0.75,5,598.30,2.334,598.30,63.13,0.70,0.62,81.24,0.14,0.06,0.05,0.35,130.5,191,132.0,132,0,28.80,264.60,9.20,2.85,70.60
VT,0.80,5,637.24,2.374,637.24,423.83,721.41,632.34,1185.67,285.41,570.02,499.64,230.06,132.1,197,132.0,132,0,33.40,278.80,8.46,2.88,81.60
VT,0.85,5,678.37,2.426,678.37,64.96,0.63,0.55,91.10,1.26,0.24,0.21,1.52,128.7,190,132.4,134,0,32.80,322.80,9.84,2.82,83.20
VT,0.95,5,755.68,2.567,755.68,72.92,2.26,1.98,119.52,8.03,1.40,1.23,7.72,381.5,2040,132.4,133,0,31.80,259.80,8.63,8.02,176.40
VT,1.05,5,838.82,2.754,838.82,1729.66,237.17,207.89,3060.15,1317.34,192.72,168.93,1399.08,137.2,224,132.4,133,0,50.20,378.00,7.67,3.34,89.00
PT,0.30,5,240.79,1.476,240.79,60.80,0.46,0.40,69.26,0.00,0.00,0.00,0.00,716.9,2089,147.3,161,0,8.80,52.00,5.78,10.61,183.60
PT,0.50,5,398.52,1.768,398.52,60.87,0.31,0.27,75.01,0.00,0.00,0.00,0.00,130.2,196,157.7,179,0,18.80,138.80,7.40,2.89,68.40
PT,0.60,5,480.39,1.901,480.39,61.59,0.38,0.33,77.23,0.01,0.01,0.01,0.00,913.3,2082,164.3,183,0,15.00,165.40,12.14,14.93,138.20
PT,0.65,5,515.53,1.937,515.53,62.17,0.60,0.53,81.76,0.10,0.13,0.12,0.06,416.8,2072,166.1,185,0,22.40,176.40,7.71,6.67,78.40
PT,0.70,5,559.43,1.978,559.43,61.87,0.44,0.39,79.74,0.09,0.03,0.03,0.00,695.3,2091,168.9,190,0,21.40,158.60,7.13,10.67,218.00
PT,0.75,5,595.84,1.994,595.84,62.37,0.18,0.16,84.55,0.32,0.09,0.08,0.00,129.5,190,171.3,191,0,29.60,220.60,7.44,2.80,65.00
PT,0.80,5,633.64,2.029,633.64,63.15,0.70,0.61,89.97,0.81,0.17,0.15,0.37,421.6,2074,174.9,203,0,28.00,199.40,6.93,6.70,165.60
PT,0.85,5,679.83,2.430,679.83,151.49,173.43,152.02,539.06,59.71,115.78,101.48,60.89,419.7,2072,239.8,1766,0,29.80,223.80,7.31,6.69,147.20
PT,0.95,5,758.31,2.158,758.31,92.37,6.80,5.96,179.50,21.67,5.36,4.69,22.48,131.0,197,206.4,294,0,38.40,297.80,7.79,2.88,112.60
PT,1.05,5,838.25,2.038,838.25,2030.35,382.79,335.53,3745.13,1529.30,295.34,258.87,1649.16,250.4,1070,1722.5,3409,0,41.60,305.80,7.38,5.50,99.40
